review_id,review_text,label
9462,"Tekstur serum ini kental dan cepat meresap serta tidak meninggalkan efek berminyak. Sudah 3 bulan belakangan ini saya rutin menggunakan serum ini di pagi dan sore hari dan melewatkan moisturizer di pagi hari, hasilnya kulit saya terasa lembab, kenyal dan halus, bahkan suami saya memuji kulit wajah saya sekarang jauh lebih halus dari pada saat saya sedang berkencan",1
16327,"Saya sangat menyukai produk perawatan wajah yang bebas pewangi karena tentunya mengurangi kemungkinan iritasi :) Saya suka karena bebas pewangi dan sangat berfungsi untuk membersihkan sisa-sisa yang masih menempel di wajah. Untuk efek mengencangkan pori, sayangnya saya tidak merasakannya, karena ukurannya masih seperti itu. Saya tidak akan membelinya kembali karena saya ingin mencoba merek toner lain terlebih dahulu.",1
155658,"harga murah bukan berarti murahan berkualitas ya. Toner ini mengandung minyak pohon teh, asam salisid dan teh hijau, sehingga sangat cocok untuk kulit berminyak seperti saya. pengepakannya oke, wangi dan ada sensasi begitu bikin. Saya rasa ini juga efektif untuk mengatasi jerawat, juga jerawat kecil itu. Saya sangat merekomendasikan ini. membeli kembali? tentu saja sayang & nbsp;",1
82508,"Awalnya saya bingung membeli toner lemon atau green tea viva untuk mengobati jerawat. Saya mencoba toner & amp; pembersih susu lemon pertama. Saya baru menggunakannya 2 kali (malam sebelum tidur & pagi) sore hari saya melihat jerawat baru muncul, saya langsung berhenti menggunakan ini dan menggunakan teh hijau dan ternyata teh hijaunya cocok untuk saya dan membantu masalah jerawat saya.",1
27306,"Sublock ini lebih ditujukan untuk kulit berminyak .. Saya sudah beli kembali karena menurut saya nyaman digunakan, tidak lengket, terasa ringan, tidak menimbulkan jerawat, dan SPF-nya juga tinggi .. secara keseluruhan saya sangat suka tabir surya ini. .. Saya perhatikan, setelah dipakai seharian, wajah cenderung lebih berminyak dibandingkan jika tidak menggunakan tabir surya ini ...",1
57731,"Entah kenapa ketika produk ini belum masuk ke Indonesia, saya merasa sangat bersemangat untuk mencoba dan mempertahankan pembelian dari Hong Kong, dan saat itu produk ini memang berbeda dengan produk toko obat lainnya. tapi pas beli yang made in indonesia kok tidak terasa ada efeknya, tidak pecah, lumayan melembabkan juga, tapi selain itu tidak ada efek lain.",1
38669,"Pertama kali saya keluar dari perawatan dokter, saya menggunakan FTE ini. Dua bulan pertama saya buat bruntusan, tapi setelah itu aman, apalagi dipadukan dengan krim stempower sk-ii. ukuran 75 ml bisa saya pakai hampir 6 bulan. Saya menggunakan kapas yang dipotong 4, cukup 2 tetes saja, karena jika terlalu banyak akan mengeringkan kulit .. Aneh .. padahal fungsinya untuk melembabkan. Jika Anda menggunakan sedikit pelembab, jika Anda menggunakannya paling banyak justru membuatnya kering.",1
148530,"sudah 2 minggu menggunakan lotion ini, dan itu berhasil! kulit menjadi jauh lebih lembap, mungkin karena ini adalah toner pelembab pertama saya. sampai sekarang aman untuk kulit saya, tidak ada jerawat sama sekali, teksturnya encer dan ringan untuk digunakan. kalau saya pakai 3-4 tetes, masalahnya kebanyakan kulit saya jadi agak kering. harganya super duper murah, tidak sampai 50 ribuan. so, untuk harga segitu dan hasil yang memuaskan oke banget!",1
11700,"toner ini cocok untuk saya tidak mengiritasi, mengering dan berjerawat. Seperti wanginya dan setelah dipakai wajah menjadi cerah, seperti namanya yang untuk mencerahkan dan mempercantik kulit.",1
1400,"Saat pertama kali mencobanya ... rasanya agak aneh, tapi serumnya seperti tekstur gel. tapi karena biasanya mereka selalu suka produk loccitane jadi terus berusaha. Sekilas, saya sangat suka dengan kemasannya. tetapi setelah digunakan rasanya enak karena Anda tidak tahu berapa banyak produk yang tersisa. jadi saya lebih senang dengan kemasan transparan. Saat dipakai, rasanya tidak suka menggunakan serum karena seperti menggunakan primer. Tapi coba tebak, ini juga bisa berfungsi sebagai primer, jadi lebih mudah menggunakan alas bedak setelah itu. kulit saya menyerap ini dalam waktu singkat, jadi ini menghemat beberapa menit. sayangnya saya tidak menggunakannya lama untuk memberikan testimoni tentang performanya. Karena apa? karena saya tidak tahan dengan baunya :(. aroma yang kuat dalam perawatan kulit tidak boleh. dan baunya bertahan lama, hanya tidak nyaman jadi saya harus mengucapkan selamat tinggal untuk yang ini.",1
